clubLabel,venueLabel,coordinates,countryLabel
FC Martigues,Stade Francis Turcan,Point(5.049444 43.407222),France
Norwich City F.C.,Carrow Road,Point(1.308653 52.622128),United Kingdom
SC Herford,Friedrich-Ludwig-Jahn-Stadion,Point(8.688056 52.105278),Germany
Ángeles de Puebla,Cuauhtémoc Stadium,Point(-98.164444 19.078056),Mexico
Puebla F.C.,Cuauhtémoc Stadium,Point(-98.164444 19.078056),Mexico
Puebla FC Reserves,Cuauhtémoc Stadium,Point(-98.164444 19.078056),Mexico
Michau Warriors,Port Elizabeth,Point(25.6 -33.958055555),South Africa
Real Betis Balompié,Estadio Benito Villamarín,Point(-5.981611 37.356403),Spain
O.G.C. Nice,Allianz Riviera,Point(7.192583333 43.705138888),France
FC Bayern Munich,Allianz Arena,Point(11.624752777 48.218775),Germany
F.C. Nazareth Illit,"Green Stadium, Nazareth Illit",Point(35.311325 32.6898),Israel
F.C. Nazareth Illit Hanan Ohayon,"Green Stadium, Nazareth Illit",Point(35.311325 32.6898),Israel
Fajr Sepasi F.C.,Hafezieh Stadium,Point(52.556062 29.623865),Iran
Payam Mokhaberat Shiraz F.C.,Hafezieh Stadium,Point(52.556062 29.623865),Iran
Bahman Shiraz F.C.,Hafezieh Stadium,Point(52.556062 29.623865),Iran
Kara Shiraz F.C.,Hafezieh Stadium,Point(52.556062 29.623865),Iran
New Bargh Fars F.C.,Hafezieh Stadium,Point(52.556062 29.623865),Iran
Real Garcilaso,Estadio Garcilaso,Point(-71.966 -13.525),Peru
Cienciano,Estadio Garcilaso,Point(-71.966 -13.525),Peru
Club Deportivo Garcilaso,Estadio Garcilaso,Point(-71.966 -13.525),Peru
TSG 1899 Hoffenheim,Rhein-Neckar Arena,Point(8.888278 49.239),Germany
Hapoel Tel Aviv F.C.,Bloomfield Stadium,Point(34.761625 32.05175),Israel
Maccabi Tel Aviv F.C.,Bloomfield Stadium,Point(34.761625 32.05175),Israel
Bnei Yehuda Tel Aviv F.C.,Bloomfield Stadium,Point(34.761625 32.05175),Israel
Beitar Tel Aviv F.C.,Bloomfield Stadium,Point(34.761625 32.05175),Israel
Shimshon Tel Aviv F.C.,Bloomfield Stadium,Point(34.761625 32.05175),Israel
Edmonton Aviators,Commonwealth Stadium,Point(-113.476111111 53.559722222),Canada
Edmonton Drillers (1979–82),Commonwealth Stadium,Point(-113.476111111 53.559722222),Canada
Football Club Internazionale Milano,Giuseppe Meazza Stadium (San Siro),Point(9.124 45.47808),Italy
Associazione Calcio Milan,Giuseppe Meazza Stadium (San Siro),Point(9.124 45.47808),Italy
Incheon Korail FC,Incheon Munhak Stadium,Point(126.690806 37.435139),South Korea
Sportfreunde Lotte,PGW Arena,Point(7.920444 52.270936),Germany
SuperSport United F.C.,Lucas Masterpieces Moripe Stadium,Point(28.072869 -25.775919),South Africa
Londrina E.C.,Estádio do Café,Point(-51.165 -23.282222),Brazil
Associação Portuguesa Londrinense,Estádio do Café,Point(-51.165 -23.282222),Brazil
A.C.R. Messina,Stadio San Filippo,Point(15.520833 38.161389),Italy
Borussia Dortmund,Westfalenstadion,Point(7.451667 51.4925),Germany
FC Grün-Weiß Piesteritz,Volksparkstadion,Point(9.898611 53.586944),Germany
Club Atlas,Volksparkstadion,Point(9.898611 53.586944),Germany
FC Schalke 04,Veltins Arena,Point(7.067588888 51.554502777),Germany
Hertha BSC,Olympiastadion Berlin,Point(13.239444444 52.514722222),Germany
Q1890792,Olympiastadion Berlin,Point(13.239444444 52.514722222),Germany
Umeå FC,T3 Arena,Point(20.285277777 63.83),Sweden
Ersboda SK,T3 Arena,Point(20.285277777 63.83),Sweden
Team TG FF,T3 Arena,Point(20.285277777 63.83),Sweden
Real Valladolid,Estadio Nuevo Helen Zorrilla,Point(-4.761111 41.644444),Spain
1. FC Köln,RheinEnergie Stadion,Point(6.875 50.933611),Germany
VfB Stuttgart,Mercedes-Benz Arena,Point(9.231944 48.792222),Germany
1. FC Nürnberg,Stadion Nürnberg,Point(11.125278 49.426389),Germany
FC Heilbronn,Stadion Nürnberg,Point(11.125278 49.426389),Germany
Team America,Robert F. Kennedy Memorial Stadium,Point(-76.971666666 38.889722222),United States of America
Washington Diplomats,Robert F. Kennedy Memorial Stadium,Point(-76.971666666 38.889722222),United States of America
Washington Whips,Robert F. Kennedy Memorial Stadium,Point(-76.971666666 38.889722222),United States of America
Borussia Mönchengladbach,Borussia-Park,Point(6.385463888 51.174583333),Germany
1. FC Kaiserslautern,Fritz-Walter-Stadion,Point(7.775833 49.434444),Germany
SK Sigma Olomouc,Andrův stadion,Point(17.248333 49.6),Czech Republic
SK Olomouc ASO,Andrův stadion,Point(17.248333 49.6),Czech Republic
Křídla vlasti Olomouc,Andrův stadion,Point(17.248333 49.6),Czech Republic
SV Werder Bremen,Weserstadion,Point(8.8375 53.066389),Germany
SV Werder Bremen II,Weserstadion,Point(8.8375 53.066389),Germany
Clube de Regatas do Flamengo,Estádio do Maracanã,Point(-43.230163888 -22.912166666),Brazil
Lincoln F.C.,Estádio do Maracanã,Point(-43.230163888 -22.912166666),Brazil
Fortuna Düsseldorf,Merkur Spielarena,Point(6.733083 51.261539),Germany
VfL Wolfsburg,Volkswagen Arena,Point(10.803889 52.431944),Germany
Bayer 04 Leverkusen,BayArena,Point(7.002205555 51.038255555),Germany
Bayer 04 Leverkusen II,BayArena,Point(7.002205555 51.038255555),Germany
Eintracht Frankfurt,Commerzbank-Arena,Point(8.645278 50.068611),Germany
F.C. Copenhagen,Parken Stadium,Point(12.572203 55.702469),Denmark
F.C. Lorient,Stade du Moustoir,Point(-3.369733 47.748256),France
FC Emmenbrücke,Stadion Gersag,Point(8.283611 47.079722),Switzerland
Argonauts F.C.,Wembley Stadium,Point(-0.279722222 51.555555555),United Kingdom
Club Atlético River Plate,Estadio Saroldi,Point(-56.20163889 -34.86213611),Uruguay
Liverpool F.C.,Anfield,Point(-2.960827777 53.430819444),United Kingdom
Manchester City F.C.,Etihad Stadium,Point(-2.200277777 53.483055555),United Kingdom
Rampla Juniors Football Club,Estadio Olímpico,Point(-56.245413 -34.893108),Uruguay
C.A. Bella Vista,Estadio José Nasazzi,Point(-56.209033 -34.861525),Uruguay
Plaza Colonia,Estadio Suppici,Point(-57.84527778 -34.46694444),Uruguay
Boston Beacons,Fenway Park,Point(-71.0975 42.346388888),United States of America
Deportivo Cali,Estadio Deportivo Cali,Point(-76.417036 3.521642),Colombia
AC Sparta Prague,Generali Arena,Point(14.416122 50.099716),Czech Republic
Flamurtari Vlorë,Flamurtari Stadium,Point(19.48898611 40.45592222),Albania
KF Vlora,Flamurtari Stadium,Point(19.48898611 40.45592222),Albania
Juventus F.C.,Juventus Stadium,Point(7.641247 45.109594),Italy
SK Slavia Prague,Sinobo Stadium,Point(14.471389 50.066944),Czech Republic
FC Universitatea Cluj,Cluj Arena,Point(23.572222 46.768333),Romania
Samarra FC,Samarra Stadium,Point(43.884619 34.200099),Iraq
FC Dinamo Yerevan,Kasakhi Marzik Stadium,Point(44.352222 40.291111),Armenia
FC Kasakh,Kasakhi Marzik Stadium,Point(44.352222 40.291111),Armenia
Galatasaray S.K.,Türk Telekom Arena,Point(28.990417 41.102861),Turkey
S.S.C. Napoli,Stadio San Paolo,Point(14.193008 40.827967),Italy
Naples Foot-Ball Club,Stadio San Paolo,Point(14.193008 40.827967),Italy
Manchester United F.C.,Old Trafford,Point(-2.291388888 53.463055555),United Kingdom
SD Compostela,Estadio Multiusos de San Lázaro,Point(-8.516014 42.882767),Spain
SD Ciudad de Santiago,Estadio Multiusos de San Lázaro,Point(-8.516014 42.882767),Spain
Sociedad Deportiva Compostela (1962-2006),Estadio Multiusos de San Lázaro,Point(-8.516014 42.882767),Spain
Sacramento Knights,Sleep Train Arena,Point(-121.518055555 38.649166666),United States of America
Novara Calcio,Stadio Silvio Piola (Novara),Point(8.595833 45.435833),Italy
A.C. Gozzano,Stadio Silvio Piola (Novara),Point(8.595833 45.435833),Italy
Ascoli Calcio 1898 F.C.,Stadio Cino e Lillo Del Duca,Point(13.594167 42.861111),Italy
Vicenza Calcio,Stadio Romeo Menti,Point(11.555556 45.544167),Italy
Real Vicenza V.S.,Stadio Romeo Menti,Point(11.555556 45.544167),Italy
L.R. Vicenza Virtus,Stadio Romeo Menti,Point(11.555556 45.544167),Italy
A.C. Perugia Calcio,Stadio Renato Curi,Point(12.357222 43.106111),Italy
A.C. Cesena,Stadio Dino Manuzzi,Point(12.261944 44.140556),Italy
Empoli F.C.,Stadio Carlo Castellani,Point(10.955 43.726389),Italy
Unione Sportiva Sassuolo Calcio,Stadio Alberto Braglia,Point(10.923333 44.653611),Italy
Carpi FC 1909,Stadio Alberto Braglia,Point(10.923333 44.653611),Italy
Ternana Calcio,Stadio Libero Liberati,Point(12.635278 42.562222),Italy
Brescia Calcio,Stadio Mario Rigamonti,Point(10.236944 45.570556),Italy
Como 1907,Stadio Giuseppe Sinigaglia,Point(9.07222222 45.81388889),Italy
Varese Calcio,Stadio Franco Ossola,Point(8.80055556 45.83444444),Italy
F.C. Pro Vercelli 1892,Stadio Silvio Piola (Vercelli),Point(8.421335 45.319817),Italy
A.C. Gozzano,Stadio Silvio Piola (Vercelli),Point(8.421335 45.319817),Italy
U.S. Grosseto F.C.,Stadio Olimpico Carlo Zecchini,Point(11.1075 42.758889),Italy
F.C. Crotone,Stadio Ezio Scida,Point(17.116667 39.079167),Italy
Associazione Sportiva Cittadella,Stadio Pier Cesare Tombolato,Point(11.781111 45.642778),Italy
Calcio Padova,Stadio Euganeo,Point(11.858333 45.432222),Italy
Biancoscudati Padova,Stadio Euganeo,Point(11.858333 45.432222),Italy
Spezia Calcio,Stadio Alberto Picco,Point(9.808611 44.102222),Italy
ES Hammam-Sousse,Stade Municipal Bou Ali-Lahouar,Point(10.5986 35.8549),Tunisia
A.C. Pisa 1909,Arena Garibaldi – Stadio Romeo Anconetani,Point(10.4 43.725278),Italy
Yokohama F. Marinos,International Stadium Yokohama,Point(139.606247 35.510044),Japan
Al Ahly SC,Cairo International Stadium,Point(31.312333 30.069111),Egypt
Zamalek SC,Cairo International Stadium,Point(31.312333 30.069111),Egypt
FC Masr,Cairo International Stadium,Point(31.312333 30.069111),Egypt
Ceramica Cleopatra FC,Cairo International Stadium,Point(31.312333 30.069111),Egypt
FC Barcelona,Camp Nou,Point(2.1225 41.380833),Spain
S.S. Lazio,Stadio Olimpico,Point(12.454714 41.933872),Italy
Associazione Sportiva Roma,Stadio Olimpico,Point(12.454714 41.933872),Italy
A.S. Roma Primavera,Stadio Olimpico,Point(12.454714 41.933872),Italy
2018–19 S.S. Lazio season,Stadio Olimpico,Point(12.454714 41.933872),Italy
Kaizer Chiefs F.C.,FNB Stadium,Point(27.982378 -26.234806),South Africa
Arsenal F.C.,Emirates Stadium,Point(-0.108611111 51.555),United Kingdom
Real Madrid CF,Estadio Santiago Bernabéu,Point(-3.68835 40.45306),Spain
Querétaro F.C.,Estadio Santiago Bernabéu,Point(-3.68835 40.45306),Spain
IFK Göteborg,Gamla Ullevi,Point(11.980555555 57.706111111),Sweden
Örgryte IS,Gamla Ullevi,Point(11.980555555 57.706111111),Sweden
GAIS,Gamla Ullevi,Point(11.980555555 57.706111111),Sweden
Rot-Weiss Frankfurt,Stadion am Brentanobad,Point(8.62056 50.1247),Germany
Zawisza Bydgoszcz,Zdzisław Krzyszkowiak Stadium,Point(18.020556 53.145556),Poland
Dynamo Dresden,Rudolf-Harbig-Stadion,Point(13.747778 51.040278),Germany
Chelsea F.C.,Stamford Bridge stadium,Point(-0.191111111 51.481666666),United Kingdom
