league,country
Süper Lig,Turkey
Premier League,England
Serie A,Italy
Ligue 1,France
LaLiga,Spain
1.Bundesliga,Germany
Série A,Italy
Championship,England
Eredivisie,Netherlands
Liga NOS,Portugal
Premier Liga,Ukraine
Super League,Greece
Serie B,Italy
Jupiler Pro League,Belgium
Brazil,Brazil
Torneo Final,Argentina
Argentina,Argentina
LaLiga2,Spain
First Division,England
Ligue 2,France
Primera División,Chile
Liga MX Clausura,Mexico
2.Bundesliga,Germany
1.HNL,Croatia
England,England
Premiership,Scotland
Bundesliga,Germany
Superligaen,Denmark
HET Liga,Czech Republic
SuperLiga,Serbia
Eliteserien,Norway
League One,England
Scotland,Scotland
Serbia,Serbia
Uruguay,Uruguay
Liga 1,Romania
Mexico,Mexico
Croatia,Croatia
Allsvenskan,Sweden
Sweden,Sweden
Ekstraklasa,Poland
UAE Gulf League,United Arab Emirates
Stars League,Qatar
Qatar,Qatar
United Arab Emirates,United Arab Emirates
Professional League,Saudi Arabia
MLS,United States
Russia,Russia
Liga MX Apertura,Mexico
J1 League,Japan
Romania,Romania
Czech Republic,Czech Republic
Portugal,Portugal
Denmark,Denmark
Liga Águila II,Colombia
China,China
Canada,Canada
Australia,Australia
Bulgaria,Bulgaria
Ecuador,Ecuador
Finland,Finland
France,France
Ghana,Ghana
Iran,Iran
"Korea, South",South Korea
Latvia,Latvia
Moldova,Moldova
Paraguay,Paraguay
Peru,Peru
Saudi Arabia,Saudi Arabia
Slovakia,Slovakia
South Africa,South Africa
Spain,Spain
Tunisia,Tunisia
Ukraine,Ukraine
United States,United States
Venezuela,Venezuela
1.Division,Denmark
1.Lig,Turkey
1.Liga gr. 1,Switzerland
2ª B - Grupo I,Spain
2ª B - Grupo III,Spain
3.Liga,Germany
A Grupa - Championship gr.,Bulgaria
Auf-/Abstiegsrunde NLA/NLB,Switzerland
Botola Pro,Morocco
Challenge League,Switzerland
Championnat National,France
J1 - 2nd Stage,Japan
J2 League,Japan
K League 1,South Korea
Korean FA Cup,South Korea
Liga 1,Romania
Liga 1 - Championship group,Romania
Ligat ha'Al,Israel
Ligue I Pro,Tunisia
NB I.,Hungary
OBOS-ligaen,Norway
Primavera B,Italy
Primera B Nacional,Argentina
Primera Div. Apertura,Peru
Proximus League,Belgium
Regionalliga Nord,Germany
Rel. Ligue 1,France
Second Division (bis 03/04),England
Segunda División,Spain
Serie A Segunda Etapa,Spain
Serie C - A,Italy
Serie C - B,Italy
Superettan,Sweden
Superligaen Championship round,Denmark
Série B,Italy
Torneo Inicial,Argentina
U18 Premier League,England
U19 Eredivisie,Netherlands
Virsliga,Latvia
Vysheyshaya Liga,Belarus
Wales,Wales
Belgium,Belgium
Libya,Libya
Israel,Israel
Colombia,Colombia
Segunda División - Segunda Fase,Spain
Ledman Liga Pro,Portugal
Chile,Chile
