club,clubLabel,venue,venueLabel,coordinates,country,countryLabel,league,leagueLabel
http://www.wikidata.org/entity/Q223566,Al Ahly SC,http://www.wikidata.org/entity/Q158985,Cairo International Stadium,Point(31.312333 30.069111),http://www.wikidata.org/entity/Q79,Egypt,http://www.wikidata.org/entity/Q680619,Egyptian Premier League
http://www.wikidata.org/entity/Q286504,Zamalek SC,http://www.wikidata.org/entity/Q158985,Cairo International Stadium,Point(31.312333 30.069111),http://www.wikidata.org/entity/Q79,Egypt,http://www.wikidata.org/entity/Q680619,Egyptian Premier League
http://www.wikidata.org/entity/Q22929915,FC Masr,http://www.wikidata.org/entity/Q158985,Cairo International Stadium,Point(31.312333 30.069111),http://www.wikidata.org/entity/Q79,Egypt,http://www.wikidata.org/entity/Q5348442,Egyptian Second Division
http://www.wikidata.org/entity/Q27964149,Ceramica Cleopatra FC,http://www.wikidata.org/entity/Q158985,Cairo International Stadium,Point(31.312333 30.069111),http://www.wikidata.org/entity/Q79,Egypt,http://www.wikidata.org/entity/Q5348442,Egyptian Second Division
http://www.wikidata.org/entity/Q7156,FC Barcelona,http://www.wikidata.org/entity/Q159848,ALFONSO LASTRAS,Point(2.1225 41.380833),http://www.wikidata.org/entity/Q29,Spain,http://www.wikidata.org/entity/Q324867,La Liga
http://www.wikidata.org/entity/Q2609,S.S. Lazio,http://www.wikidata.org/entity/Q159884,Stadio Olimpico,Point(12.454714 41.933872),http://www.wikidata.org/entity/Q38,Italy,http://www.wikidata.org/entity/Q15804,Serie A
http://www.wikidata.org/entity/Q2739,Associazione Sportiva Roma,http://www.wikidata.org/entity/Q159884,Stadio Olimpico,Point(12.454714 41.933872),http://www.wikidata.org/entity/Q38,Italy,http://www.wikidata.org/entity/Q15804,Serie A
http://www.wikidata.org/entity/Q247731,Kaizer Chiefs F.C.,http://www.wikidata.org/entity/Q163521,FNB Stadium,Point(27.982378 -26.234806),http://www.wikidata.org/entity/Q258,South Africa,http://www.wikidata.org/entity/Q16056559,South African Premier Division
http://www.wikidata.org/entity/Q9617,Arsenal F.C.,http://www.wikidata.org/entity/Q163995,Emirates Stadium,Point(-0.108611111 51.555),http://www.wikidata.org/entity/Q145,United Kingdom,http://www.wikidata.org/entity/Q9448,Premier League
http://www.wikidata.org/entity/Q8682,Real Madrid CF,http://www.wikidata.org/entity/Q164027,Estadio Santiago Bernabéu,Point(-3.68835 40.45306),http://www.wikidata.org/entity/Q29,Spain,http://www.wikidata.org/entity/Q324867,La Liga
http://www.wikidata.org/entity/Q606210,Querétaro F.C.,http://www.wikidata.org/entity/Q164027,Estadio Santiago Bernabéu,Point(-3.68835 40.45306),http://www.wikidata.org/entity/Q29,Spain,http://www.wikidata.org/entity/Q764690,The Liga MX
http://www.wikidata.org/entity/Q201567,IFK Göteborg,http://www.wikidata.org/entity/Q165944,Gamla Ullevi,Point(11.980555555 57.706111111),http://www.wikidata.org/entity/Q34,Sweden,http://www.wikidata.org/entity/Q202243,Allsvenskan
http://www.wikidata.org/entity/Q297906,Örgryte IS,http://www.wikidata.org/entity/Q165944,Gamla Ullevi,Point(11.980555555 57.706111111),http://www.wikidata.org/entity/Q34,Sweden,http://www.wikidata.org/entity/Q692009,Superettan
http://www.wikidata.org/entity/Q391789,GAIS,http://www.wikidata.org/entity/Q165944,Gamla Ullevi,Point(11.980555555 57.706111111),http://www.wikidata.org/entity/Q34,Sweden,http://www.wikidata.org/entity/Q692009,Superettan
http://www.wikidata.org/entity/Q543035,Rot-Weiss Frankfurt,http://www.wikidata.org/entity/Q167202,Stadion am Brentanobad,Point(8.62056 50.1247),http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q1477071,Q1477071
http://www.wikidata.org/entity/Q167781,Zawisza Bydgoszcz,http://www.wikidata.org/entity/Q169235,Zdzisław Krzyszkowiak Stadium,Point(18.020556 53.145556),http://www.wikidata.org/entity/Q36,Poland,http://www.wikidata.org/entity/Q2689958,B-Class
http://www.wikidata.org/entity/Q141931,Dynamo Dresden,http://www.wikidata.org/entity/Q170154,Rudolf-Harbig-Stadion,Point(13.747778 51.040278),http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q152665,2. Bundesliga
http://www.wikidata.org/entity/Q9616,Chelsea F.C.,http://www.wikidata.org/entity/Q171458,Stamford Bridge stadium,Point(-0.191111111 51.481666666),http://www.wikidata.org/entity/Q145,United Kingdom,http://www.wikidata.org/entity/Q9448,Premier League
http://www.wikidata.org/entity/Q2669653,Chelsea F.C. Reserves and Academy,http://www.wikidata.org/entity/Q171458,Stamford Bridge stadium,Point(-0.191111111 51.481666666),http://www.wikidata.org/entity/Q145,United Kingdom,http://www.wikidata.org/entity/Q7247950,Professional Development League
http://www.wikidata.org/entity/Q18747,West Ham United F.C.,http://www.wikidata.org/entity/Q172190,London Stadium,Point(-0.016389 51.538611),http://www.wikidata.org/entity/Q145,United Kingdom,http://www.wikidata.org/entity/Q9448,Premier League
http://www.wikidata.org/entity/Q412502,Ajax Cape Town F.C.,http://www.wikidata.org/entity/Q173559,Cape Town Stadium,Point(18.408611 -33.905556),http://www.wikidata.org/entity/Q258,South Africa,http://www.wikidata.org/entity/Q603439,Premier Soccer League
http://www.wikidata.org/entity/Q25238665,Cape Town City F.C.,http://www.wikidata.org/entity/Q173559,Cape Town Stadium,Point(18.408611 -33.905556),http://www.wikidata.org/entity/Q258,South Africa,http://www.wikidata.org/entity/Q603439,Premier Soccer League
http://www.wikidata.org/entity/Q25238665,Cape Town City F.C.,http://www.wikidata.org/entity/Q173559,Cape Town Stadium,Point(18.408611 -33.905556),http://www.wikidata.org/entity/Q258,South Africa,http://www.wikidata.org/entity/Q16056559,South African Premier Division
http://www.wikidata.org/entity/Q549105,US FRAN,http://www.wikidata.org/entity/Q174463,Stade Wobi Bobo-Dioulasso,Point(-4.29694444 11.18194444),http://www.wikidata.org/entity/Q965,Burkina Faso,http://www.wikidata.org/entity/Q769090,Burkinabé Premier League
http://www.wikidata.org/entity/Q657729,Bobo Sport,http://www.wikidata.org/entity/Q174463,Stade Wobi Bobo-Dioulasso,Point(-4.29694444 11.18194444),http://www.wikidata.org/entity/Q965,Burkina Faso,http://www.wikidata.org/entity/Q769090,Burkinabé Premier League
http://www.wikidata.org/entity/Q298518,AS Yzeure,http://www.wikidata.org/entity/Q174939,Q174939,Point(3.34905 46.56139722),http://www.wikidata.org/entity/Q142,France,http://www.wikidata.org/entity/Q1061291,Championnat de France amateur
http://www.wikidata.org/entity/Q3076700,FF Yzeure Allier Auvergne,http://www.wikidata.org/entity/Q174939,Q174939,Point(3.34905 46.56139722),http://www.wikidata.org/entity/Q142,France,http://www.wikidata.org/entity/Q1231102,Division 1 Féminine
http://www.wikidata.org/entity/Q451635,AmaZulu F.C.,http://www.wikidata.org/entity/Q175289,Moses Mabhida Stadium,Point(31.0303 -29.829),http://www.wikidata.org/entity/Q258,South Africa,http://www.wikidata.org/entity/Q603439,Premier Soccer League
http://www.wikidata.org/entity/Q451635,AmaZulu F.C.,http://www.wikidata.org/entity/Q175289,Moses Mabhida Stadium,Point(31.0303 -29.829),http://www.wikidata.org/entity/Q258,South Africa,http://www.wikidata.org/entity/Q16056559,South African Premier Division
http://www.wikidata.org/entity/Q18711,Aston Villa F.C.,http://www.wikidata.org/entity/Q175339,Villa Park,Point(-1.884722222 52.509166666),http://www.wikidata.org/entity/Q145,United Kingdom,http://www.wikidata.org/entity/Q19510,EFL Championship
http://www.wikidata.org/entity/Q4811032,Aston Villa Under-21s and Academy,http://www.wikidata.org/entity/Q175339,Villa Park,Point(-1.884722222 52.509166666),http://www.wikidata.org/entity/Q145,United Kingdom,http://www.wikidata.org/entity/Q7247950,Professional Development League
http://www.wikidata.org/entity/Q482406,FC Seoul,http://www.wikidata.org/entity/Q175477,Seoul World Cup Stadium,Point(126.897361111 37.568222222),http://www.wikidata.org/entity/Q884,South Korea,http://www.wikidata.org/entity/Q2386334,K League 1
http://www.wikidata.org/entity/Q16842849,KSF Prespa Birlik,http://www.wikidata.org/entity/Q175960,Malmö stadion,Point(12.989166666 55.586111111),http://www.wikidata.org/entity/Q34,Sweden,http://www.wikidata.org/entity/Q959186,Swedish Football Division 1
http://www.wikidata.org/entity/Q552949,SC Union 06 Berlin,http://www.wikidata.org/entity/Q176074,Poststadion,Point(13.359444 52.53),http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q44151,Bezirksliga
http://www.wikidata.org/entity/Q692704,Berliner AK 07,http://www.wikidata.org/entity/Q176074,Poststadion,Point(13.359444 52.53),http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q548937,Fußball-Regionalliga Nordost
http://www.wikidata.org/entity/Q274465,E.C. Vitória,http://www.wikidata.org/entity/Q176157,Barradão,Point(-38.427 -12.919),http://www.wikidata.org/entity/Q155,Brazil,http://www.wikidata.org/entity/Q206813,Campeonato Brasileiro Série A
http://www.wikidata.org/entity/Q249533,Glentoran F.C.,http://www.wikidata.org/entity/Q176401,The Oval,Point(-5.891319 54.602964),http://www.wikidata.org/entity/Q145,United Kingdom,http://www.wikidata.org/entity/Q277945,NIFL Premiership
http://www.wikidata.org/entity/Q328313,Houston Dynamo,http://www.wikidata.org/entity/Q176460,BBVA Compass Stadium,Point(-95.3524 29.7522),http://www.wikidata.org/entity/Q30,United States of America,http://www.wikidata.org/entity/Q18543,Major League Soccer
http://www.wikidata.org/entity/Q15303416,Houston Dash,http://www.wikidata.org/entity/Q176460,BBVA Compass Stadium,Point(-95.3524 29.7522),http://www.wikidata.org/entity/Q30,United States of America,http://www.wikidata.org/entity/Q1101443,National Women's Soccer League
http://www.wikidata.org/entity/Q19651,Yeovil Town F.C.,http://www.wikidata.org/entity/Q177206,Huish Park,Point(-2.674881 50.950278),http://www.wikidata.org/entity/Q145,United Kingdom,http://www.wikidata.org/entity/Q19565,EFL League One
http://www.wikidata.org/entity/Q1146848,Cwmbrân Town A.F.C.,http://www.wikidata.org/entity/Q177261,Cwmbran Stadium,Point(-3.02 51.6428),http://www.wikidata.org/entity/Q145,United Kingdom,http://www.wikidata.org/entity/Q5623533,Gwent County League
http://www.wikidata.org/entity/Q289029,Unione Sportiva Ancona 1905,http://www.wikidata.org/entity/Q178107,Stadio del Conero,Point(13.526144 43.56425383),http://www.wikidata.org/entity/Q38,Italy,http://www.wikidata.org/entity/Q1141778,Serie D
http://www.wikidata.org/entity/Q391984,Millonarios,http://www.wikidata.org/entity/Q179027,Estadio El Campín,Point(-74.0775 4.645888888),http://www.wikidata.org/entity/Q739,Colombia,http://www.wikidata.org/entity/Q1033349,Categoría Primera A
http://www.wikidata.org/entity/Q1424072,Independiente Santa Fe,http://www.wikidata.org/entity/Q179027,Estadio El Campín,Point(-74.0775 4.645888888),http://www.wikidata.org/entity/Q739,Colombia,http://www.wikidata.org/entity/Q1033349,Categoría Primera A
http://www.wikidata.org/entity/Q849949,C.F. Atlante,http://www.wikidata.org/entity/Q179972,Andrés Quintana Roo Olympic Stadium,Point(-86.83842222 21.15095),http://www.wikidata.org/entity/Q96,Mexico,http://www.wikidata.org/entity/Q129950,Ascenso MX
http://www.wikidata.org/entity/Q172969,FC Shakhtar Donetsk,http://www.wikidata.org/entity/Q180479,Donbass Arena,Point(37.809722 48.020833),http://www.wikidata.org/entity/Q212,Ukraine,http://www.wikidata.org/entity/Q206073,Ukrainian Premier League
http://www.wikidata.org/entity/Q784965,Mamelodi Sundowns F.C.,http://www.wikidata.org/entity/Q181398,Loftus Versfeld Stadium,Point(28.223014 -25.753189),http://www.wikidata.org/entity/Q258,South Africa,http://www.wikidata.org/entity/Q16056559,South African Premier Division
http://www.wikidata.org/entity/Q734785,Lechia Gdańsk,http://www.wikidata.org/entity/Q182385,Stadion Energa Gdańsk,Point(18.640278 54.39),http://www.wikidata.org/entity/Q36,Poland,http://www.wikidata.org/entity/Q44763,Ekstraklasa
http://www.wikidata.org/entity/Q301223,Nui,http://www.wikidata.org/entity/Q182636,Tuvalu Sports Ground,Point(179.198611 -8.523889),http://www.wikidata.org/entity/Q672,Tuvalu,http://www.wikidata.org/entity/Q188365,Tuvalu A-Division
http://www.wikidata.org/entity/Q1349266,F.C. Manu Laeva,http://www.wikidata.org/entity/Q182636,Tuvalu Sports Ground,Point(179.198611 -8.523889),http://www.wikidata.org/entity/Q672,Tuvalu,http://www.wikidata.org/entity/Q188365,Tuvalu A-Division
http://www.wikidata.org/entity/Q1349280,Tamanuku,http://www.wikidata.org/entity/Q182636,Tuvalu Sports Ground,Point(179.198611 -8.523889),http://www.wikidata.org/entity/Q672,Tuvalu,http://www.wikidata.org/entity/Q188365,Tuvalu A-Division
http://www.wikidata.org/entity/Q1350270,F.C. Niutao,http://www.wikidata.org/entity/Q182636,Tuvalu Sports Ground,Point(179.198611 -8.523889),http://www.wikidata.org/entity/Q672,Tuvalu,http://www.wikidata.org/entity/Q188365,Tuvalu A-Division
http://www.wikidata.org/entity/Q1350333,F.C. Nanumaga,http://www.wikidata.org/entity/Q182636,Tuvalu Sports Ground,Point(179.198611 -8.523889),http://www.wikidata.org/entity/Q672,Tuvalu,http://www.wikidata.org/entity/Q188365,Tuvalu A-Division
http://www.wikidata.org/entity/Q1387732,F.C. Tofaga,http://www.wikidata.org/entity/Q182636,Tuvalu Sports Ground,Point(179.198611 -8.523889),http://www.wikidata.org/entity/Q672,Tuvalu,http://www.wikidata.org/entity/Q188365,Tuvalu A-Division
http://www.wikidata.org/entity/Q1635985,Nauti F.C.,http://www.wikidata.org/entity/Q182636,Tuvalu Sports Ground,Point(179.198611 -8.523889),http://www.wikidata.org/entity/Q672,Tuvalu,http://www.wikidata.org/entity/Q188365,Tuvalu A-Division
http://www.wikidata.org/entity/Q1636157,Lakena United,http://www.wikidata.org/entity/Q182636,Tuvalu Sports Ground,Point(179.198611 -8.523889),http://www.wikidata.org/entity/Q672,Tuvalu,http://www.wikidata.org/entity/Q188365,Tuvalu A-Division
http://www.wikidata.org/entity/Q8687,Athletic Club,http://www.wikidata.org/entity/Q182864,San Mamés Stadium,Point(-2.949369 43.264205),http://www.wikidata.org/entity/Q29,Spain,http://www.wikidata.org/entity/Q324867,La Liga
http://www.wikidata.org/entity/Q298337,A.S. Lössi,http://www.wikidata.org/entity/Q182992,Stade Numa-Daly Magenta,Point(166.467611 -22.265528),http://www.wikidata.org/entity/Q142,France,http://www.wikidata.org/entity/Q600302,New Caledonia Division Honneur
http://www.wikidata.org/entity/Q298346,AS Magenta,http://www.wikidata.org/entity/Q182992,Stade Numa-Daly Magenta,Point(166.467611 -22.265528),http://www.wikidata.org/entity/Q142,France,http://www.wikidata.org/entity/Q600302,New Caledonia Division Honneur
http://www.wikidata.org/entity/Q298351,A.S. Mont-Dore,http://www.wikidata.org/entity/Q182992,Stade Numa-Daly Magenta,Point(166.467611 -22.265528),http://www.wikidata.org/entity/Q142,France,http://www.wikidata.org/entity/Q600302,New Caledonia Division Honneur
http://www.wikidata.org/entity/Q1387118,Gaïtcha FCN,http://www.wikidata.org/entity/Q182992,Stade Numa-Daly Magenta,Point(166.467611 -22.265528),http://www.wikidata.org/entity/Q142,France,http://www.wikidata.org/entity/Q600302,New Caledonia Division Honneur
http://www.wikidata.org/entity/Q6155065,USC Nouméa,http://www.wikidata.org/entity/Q182992,Stade Numa-Daly Magenta,Point(166.467611 -22.265528),http://www.wikidata.org/entity/Q142,France,http://www.wikidata.org/entity/Q9075661,New Caledonia Second Level
http://www.wikidata.org/entity/Q179075,FC Dynamo Kyiv,http://www.wikidata.org/entity/Q183529,Olimpiyskiy National Sports Complex,Point(30.521666666 50.433333333),http://www.wikidata.org/entity/Q212,Ukraine,http://www.wikidata.org/entity/Q206073,Ukrainian Premier League
http://www.wikidata.org/entity/Q1132418,FC Martigues,http://www.wikidata.org/entity/Q118955,Stade Francis Turcan,Point(5.049444 43.407222),http://www.wikidata.org/entity/Q142,France,http://www.wikidata.org/entity/Q1061291,Championnat de France amateur
http://www.wikidata.org/entity/Q18721,Norwich City F.C.,http://www.wikidata.org/entity/Q123017,Carrow Road,Point(1.308653 52.622128),http://www.wikidata.org/entity/Q145,United Kingdom,http://www.wikidata.org/entity/Q19510,EFL Championship
http://www.wikidata.org/entity/Q320541,SC Herford,http://www.wikidata.org/entity/Q123230,Friedrich-Ludwig-Jahn-Stadion,Point(8.688056 52.105278),http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q1309841,Landesliga Westfalen
http://www.wikidata.org/entity/Q646596,Puebla F.C.,http://www.wikidata.org/entity/Q124769,Cuauhtémoc Stadium,Point(-98.164444 19.078056),http://www.wikidata.org/entity/Q96,Mexico,http://www.wikidata.org/entity/Q764690,The Liga MX
http://www.wikidata.org/entity/Q7258415,Puebla FC Reserves,http://www.wikidata.org/entity/Q124769,Cuauhtémoc Stadium,Point(-98.164444 19.078056),http://www.wikidata.org/entity/Q96,Mexico,http://www.wikidata.org/entity/Q764690,The Liga MX
http://www.wikidata.org/entity/Q8723,Real Betis Balompié,http://www.wikidata.org/entity/Q126844,Estadio Benito Villamarín,Point(-5.981611 37.356403),http://www.wikidata.org/entity/Q29,Spain,http://www.wikidata.org/entity/Q324867,La Liga
http://www.wikidata.org/entity/Q185163,O.G.C. Nice,http://www.wikidata.org/entity/Q127372,Allianz Riviera,Point(7.192583333 43.705138888),http://www.wikidata.org/entity/Q142,France,http://www.wikidata.org/entity/Q13394,Ligue 1
http://www.wikidata.org/entity/Q15789,FC Bayern Munich,http://www.wikidata.org/entity/Q127429,Allianz Arena,Point(11.624752777 48.218775),http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q82595,Bundesliga
http://www.wikidata.org/entity/Q605383,F.C. Nazareth Illit,http://www.wikidata.org/entity/Q127871,"Green Stadium, Nazareth Illit",Point(35.311325 32.6898),http://www.wikidata.org/entity/Q801,Israel,http://www.wikidata.org/entity/Q1824581,Liga Leumit
http://www.wikidata.org/entity/Q797521,Fajr Sepasi F.C.,http://www.wikidata.org/entity/Q127947,Hafezieh Stadium,Point(52.556062 29.623865),http://www.wikidata.org/entity/Q794,Iran,http://www.wikidata.org/entity/Q194641,Iran Pro League
http://www.wikidata.org/entity/Q6418113,Payam Mokhaberat Shiraz F.C.,http://www.wikidata.org/entity/Q127947,Hafezieh Stadium,Point(52.556062 29.623865),http://www.wikidata.org/entity/Q794,Iran,http://www.wikidata.org/entity/Q793457,Azadegan League
http://www.wikidata.org/entity/Q18356150,Bahman Shiraz F.C.,http://www.wikidata.org/entity/Q127947,Hafezieh Stadium,Point(52.556062 29.623865),http://www.wikidata.org/entity/Q794,Iran,http://www.wikidata.org/entity/Q793457,Azadegan League
http://www.wikidata.org/entity/Q20987857,Kara Shiraz F.C.,http://www.wikidata.org/entity/Q127947,Hafezieh Stadium,Point(52.556062 29.623865),http://www.wikidata.org/entity/Q794,Iran,http://www.wikidata.org/entity/Q10881724,Iran Football's 2nd Division
http://www.wikidata.org/entity/Q28169500,New Bargh Fars F.C.,http://www.wikidata.org/entity/Q127947,Hafezieh Stadium,Point(52.556062 29.623865),http://www.wikidata.org/entity/Q794,Iran,http://www.wikidata.org/entity/Q10881724,Iran Football's 2nd Division
http://www.wikidata.org/entity/Q602397,Real Garcilaso,http://www.wikidata.org/entity/Q129115,Estadio Garcilaso,Point(-71.966 -13.525),http://www.wikidata.org/entity/Q419,Peru,http://www.wikidata.org/entity/Q606652,Peruvian Primera División
http://www.wikidata.org/entity/Q602482,Cienciano,http://www.wikidata.org/entity/Q129115,Estadio Garcilaso,Point(-71.966 -13.525),http://www.wikidata.org/entity/Q419,Peru,http://www.wikidata.org/entity/Q507576,Peruvian Segunda División
http://www.wikidata.org/entity/Q5136204,Club Deportivo Garcilaso,http://www.wikidata.org/entity/Q129115,Estadio Garcilaso,Point(-71.966 -13.525),http://www.wikidata.org/entity/Q419,Peru,http://www.wikidata.org/entity/Q2742611,Copa Perú
http://www.wikidata.org/entity/Q22707,TSG 1899 Hoffenheim,http://www.wikidata.org/entity/Q129870,Rhein-Neckar Arena,Point(8.888278 49.239),http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q82595,Bundesliga
http://www.wikidata.org/entity/Q206585,Hapoel Tel Aviv F.C.,http://www.wikidata.org/entity/Q130150,Bloomfield Stadium,Point(34.761625 32.05175),http://www.wikidata.org/entity/Q801,Israel,http://www.wikidata.org/entity/Q477309,Israeli Premier League
http://www.wikidata.org/entity/Q223728,Maccabi Tel Aviv F.C.,http://www.wikidata.org/entity/Q130150,Bloomfield Stadium,Point(34.761625 32.05175),http://www.wikidata.org/entity/Q801,Israel,http://www.wikidata.org/entity/Q477309,Israeli Premier League
http://www.wikidata.org/entity/Q737714,Bnei Yehuda Tel Aviv F.C.,http://www.wikidata.org/entity/Q130150,Bloomfield Stadium,Point(34.761625 32.05175),http://www.wikidata.org/entity/Q801,Israel,http://www.wikidata.org/entity/Q477309,Israeli Premier League
http://www.wikidata.org/entity/Q5339013,Edmonton Aviators,http://www.wikidata.org/entity/Q130381,Commonwealth Stadium,Point(-113.476111111 53.559722222),http://www.wikidata.org/entity/Q16,Canada,http://www.wikidata.org/entity/Q4646905,A-League
http://www.wikidata.org/entity/Q16765359,Edmonton Drillers (1979–82),http://www.wikidata.org/entity/Q130381,Commonwealth Stadium,Point(-113.476111111 53.559722222),http://www.wikidata.org/entity/Q16,Canada,http://www.wikidata.org/entity/Q1095556,North American Soccer League
http://www.wikidata.org/entity/Q631,Football Club Internazionale Milano,http://www.wikidata.org/entity/Q133566,Giuseppe Meazza Stadium (San Siro),Point(9.124 45.47808),http://www.wikidata.org/entity/Q38,Italy,http://www.wikidata.org/entity/Q15804,Serie A
http://www.wikidata.org/entity/Q1543,Associazione Calcio Milan,http://www.wikidata.org/entity/Q133566,Giuseppe Meazza Stadium (San Siro),Point(9.124 45.47808),http://www.wikidata.org/entity/Q38,Italy,http://www.wikidata.org/entity/Q15804,Serie A
http://www.wikidata.org/entity/Q483579,Incheon Korail FC,http://www.wikidata.org/entity/Q138554,Incheon Munhak Stadium,Point(126.690806 37.435139),http://www.wikidata.org/entity/Q884,South Korea,http://www.wikidata.org/entity/Q483045,Korea National League
http://www.wikidata.org/entity/Q666067,Sportfreunde Lotte,http://www.wikidata.org/entity/Q139878,PGW Arena,Point(7.920444 52.270936),http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q555836,Fußball-Regionalliga West
http://www.wikidata.org/entity/Q1281608,SuperSport United F.C.,http://www.wikidata.org/entity/Q142452,Lucas Masterpieces Moripe Stadium,Point(28.072869 -25.775919),http://www.wikidata.org/entity/Q258,South Africa,http://www.wikidata.org/entity/Q603439,Premier Soccer League
http://www.wikidata.org/entity/Q1281608,SuperSport United F.C.,http://www.wikidata.org/entity/Q142452,Lucas Masterpieces Moripe Stadium,Point(28.072869 -25.775919),http://www.wikidata.org/entity/Q258,South Africa,http://www.wikidata.org/entity/Q16056559,South African Premier Division
http://www.wikidata.org/entity/Q1633430,Londrina E.C.,http://www.wikidata.org/entity/Q143064,Estádio do Café,Point(-51.165 -23.282222),http://www.wikidata.org/entity/Q155,Brazil,http://www.wikidata.org/entity/Q610175,Campeonato Brasileiro Série B
http://www.wikidata.org/entity/Q29390,A.C.R. Messina,http://www.wikidata.org/entity/Q144100,Stadio San Filippo,Point(15.520833 38.161389),http://www.wikidata.org/entity/Q38,Italy,http://www.wikidata.org/entity/Q607965,Serie C
http://www.wikidata.org/entity/Q41420,Borussia Dortmund,http://www.wikidata.org/entity/Q150928,Westfalenstadion,Point(7.451667 51.4925),http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q82595,Bundesliga
http://www.wikidata.org/entity/Q325025,FC Grün-Weiß Piesteritz,http://www.wikidata.org/entity/Q150933,Volksparkstadion,Point(9.898611 53.586944),http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q316686,NOFV-Oberliga
http://www.wikidata.org/entity/Q1023532,Club Atlas,http://www.wikidata.org/entity/Q150933,Volksparkstadion,Point(9.898611 53.586944),http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q764690,The Liga MX
